date,high,low,Months,Year,City,datee
14,21°,14°,March,2021,Islamabad,14-Mar-21
15,25°,12°,March,2021,Islamabad,15-Mar-21
16,26°,14°,March,2021,Islamabad,16-Mar-21
17,28°,15°,March,2021,Islamabad,17-Mar-21
18,29°,15°,March,2021,Islamabad,18-Mar-21
19,29°,15°,March,2021,Islamabad,19-Mar-21
20,30°,15°,March,2021,Islamabad,20-Mar-21
21,21°,15°,March,2021,Islamabad,21-Mar-21
22,16°,14°,March,2021,Islamabad,22-Mar-21
23,21°,13°,March,2021,Islamabad,23-Mar-21
24,23°,11°,March,2021,Islamabad,24-Mar-21
25,26°,12°,March,2021,Islamabad,25-Mar-21
26,29°,12°,March,2021,Islamabad,26-Mar-21
27,29°,15°,March,2021,Islamabad,27-Mar-21
28,31°,17°,March,2021,Islamabad,28-Mar-21
29,28°,21°,March,2021,Islamabad,29-Mar-21
30,30°,21°,March,2021,Islamabad,30-Mar-21
31,29°,13°,March,2021,Islamabad,31-Mar-21
1,28°,19°,April,2021,Islamabad,01-Apr-21
2,27°,17°,April,2021,Islamabad,02-Apr-21
3,29°,12°,April,2021,Islamabad,03-Apr-21
4,29°,14°,April,2021,Islamabad,04-Apr-21
5,28°,19°,April,2021,Islamabad,05-Apr-21
6,29°,16°,April,2021,Islamabad,06-Apr-21
7,26°,12°,April,2021,Islamabad,07-Apr-21
8,28°,13°,April,2021,Islamabad,08-Apr-21
9,30°,14°,April,2021,Islamabad,09-Apr-21
10,31°,18°,April,2021,Islamabad,10-Apr-21
11,31°,19°,April,2021,Islamabad,11-Apr-21
12,31°,18°,April,2021,Islamabad,12-Apr-21
13,32°,21°,April,2021,Islamabad,13-Apr-21
14,33°,21°,April,2021,Islamabad,14-Apr-21
15,26°,17°,April,2021,Islamabad,15-Apr-21
16,25°,18°,April,2021,Islamabad,16-Apr-21
17,23°,16°,April,2021,Islamabad,17-Apr-21
18,26°,13°,April,2021,Islamabad,18-Apr-21
19,29°,14°,April,2021,Islamabad,19-Apr-21
20,27°,16°,April,2021,Islamabad,20-Apr-21
21,28°,16°,April,2021,Islamabad,21-Apr-21
22,21°,15°,April,2021,Islamabad,22-Apr-21
23,26°,13°,April,2021,Islamabad,23-Apr-21
24,31°,13°,April,2021,Islamabad,24-Apr-21
25,34°,16°,April,2021,Islamabad,25-Apr-21
26,35°,19°,April,2021,Islamabad,26-Apr-21
27,37°,20°,April,2021,Islamabad,27-Apr-21
28,38°,20°,April,2021,Islamabad,28-Apr-21
29,37°,23°,April,2021,Islamabad,29-Apr-21
30,37°,23°,April,2021,Islamabad,30-Apr-21
1,38°,23°,May,2021,Islamabad,01-May-21
2,37°,23°,May,2021,Islamabad,02-May-21
3,37°,23°,May,2021,Islamabad,03-May-21
4,30°,24°,May,2021,Islamabad,04-May-21
5,38°,21°,May,2021,Islamabad,05-May-21
6,34°,20°,May,2021,Islamabad,06-May-21
7,32°,21°,May,2021,Islamabad,07-May-21
8,33°,20°,May,2021,Islamabad,08-May-21
9,32°,23°,May,2021,Islamabad,09-May-21
10,34°,20°,May,2021,Islamabad,10-May-21
11,30°,19°,May,2021,Islamabad,11-May-21
12,33°,21°,May,2021,Islamabad,12-May-21
13,29°,19°,May,2021,Islamabad,13-May-21
14,31°,13°,May,2021,Islamabad,14-May-21
15,31°,18°,May,2021,Islamabad,15-May-21
16,33°,22°,May,2021,Islamabad,16-May-21
17,34°,21°,May,2021,Islamabad,17-May-21
18,30°,22°,May,2021,Islamabad,18-May-21
19,36°,23°,May,2021,Islamabad,19-May-21
20,34°,22°,May,2021,Islamabad,20-May-21
21,34°,20°,May,2021,Islamabad,21-May-21
22,35°,22°,May,2021,Islamabad,22-May-21
23,31°,20°,May,2021,Islamabad,23-May-21
24,33°,21°,May,2021,Islamabad,24-May-21
25,36°,21°,May,2021,Islamabad,25-May-21
26,38°,20°,May,2021,Islamabad,26-May-21
27,40°,24°,May,2021,Islamabad,27-May-21
28,41°,24°,May,2021,Islamabad,28-May-21
29,42°,23°,May,2021,Islamabad,29-May-21
30,38°,25°,May,2021,Islamabad,30-May-21
31,38°,23°,May,2021,Islamabad,31-May-21
1,33°,14°,June,2021,Islamabad,01-Jun-21
2,36°,23°,June,2021,Islamabad,02-Jun-21
