date,high,low,Month,Year,City,
5,22°,11°,December,2020,Lahore,05-Dec-20
6,22°,11°,December,2020,Lahore,06-Dec-20
7,24°,12°,December,2020,Lahore,07-Dec-20
8,22°,13°,December,2020,Lahore,08-Dec-20
9,17°,13°,December,2020,Lahore,09-Dec-20
10,22°,11°,December,2020,Lahore,10-Dec-20
11,21°,10°,December,2020,Lahore,11-Dec-20
12,18°,11°,December,2020,Lahore,12-Dec-20
13,16°,9°,December,2020,Lahore,13-Dec-20
14,13°,8°,December,2020,Lahore,14-Dec-20
15,14°,7°,December,2020,Lahore,15-Dec-20
16,11°,4°,December,2020,Lahore,16-Dec-20
17,16°,4°,December,2020,Lahore,17-Dec-20
18,17°,4°,December,2020,Lahore,18-Dec-20
19,18°,4°,December,2020,Lahore,19-Dec-20
20,21°,5°,December,2020,Lahore,20-Dec-20
21,23°,6°,December,2020,Lahore,21-Dec-20
22,20°,6°,December,2020,Lahore,22-Dec-20
23,21°,6°,December,2020,Lahore,23-Dec-20
24,16°,5°,December,2020,Lahore,24-Dec-20
25,18°,6°,December,2020,Lahore,25-Dec-20
26,13°,4°,December,2020,Lahore,26-Dec-20
27,8°,6°,December,2020,Lahore,27-Dec-20
28,13°,6°,December,2020,Lahore,28-Dec-20
29,15°,5°,December,2020,Lahore,29-Dec-20
30,15°,5°,December,2020,Lahore,30-Dec-20
31,16°,3°,December,2020,Lahore,31-Dec-20
1,15°,3°,January,2021,Lahore,01-Jan-21
2,10°,3°,January,2021,Lahore,02-Jan-21
3,18°,9°,January,2021,Lahore,03-Jan-21
4,19°,11°,January,2021,Lahore,04-Jan-21
5,17°,10°,January,2021,Lahore,05-Jan-21
6,15°,12°,January,2021,Lahore,06-Jan-21
7,17°,9°,January,2021,Lahore,07-Jan-21
8,16°,10°,January,2021,Lahore,08-Jan-21
9,12°,7°,January,2021,Lahore,09-Jan-21
10,12°,4°,January,2021,Lahore,10-Jan-21
11,12°,7°,January,2021,Lahore,11-Jan-21
12,15°,6°,January,2021,Lahore,12-Jan-21
13,13°,5°,January,2021,Lahore,13-Jan-21
14,14°,5°,January,2021,Lahore,14-Jan-21
15,12°,5°,January,2021,Lahore,15-Jan-21
16,11°,7°,January,2021,Lahore,16-Jan-21
17,9°,5°,January,2021,Lahore,17-Jan-21
18,15°,4°,January,2021,Lahore,18-Jan-21
19,20°,5°,January,2021,Lahore,19-Jan-21
20,20°,6°,January,2021,Lahore,20-Jan-21
21,22°,7°,January,2021,Lahore,21-Jan-21
22,16°,5°,January,2021,Lahore,22-Jan-21
23,15°,9°,January,2021,Lahore,23-Jan-21
24,18°,6°,January,2021,Lahore,24-Jan-21
25,20°,6°,January,2021,Lahore,25-Jan-21
26,21°,8°,January,2021,Lahore,26-Jan-21
27,21°,6°,January,2021,Lahore,27-Jan-21
28,21°,7°,January,2021,Lahore,28-Jan-21
29,21°,6°,January,2021,Lahore,29-Jan-21
30,21°,6°,January,2021,Lahore,30-Jan-21
31,21°,7°,January,2021,Lahore,31-Jan-21
1,20°,8°,February,2021,Lahore,01-Feb-21
2,23°,7°,February,2021,Lahore,02-Feb-21
3,21°,10°,February,2021,Lahore,03-Feb-21
4,18°,9°,February,2021,Lahore,04-Feb-21
5,19°,7°,February,2021,Lahore,05-Feb-21
6,21°,9°,February,2021,Lahore,06-Feb-21
7,22°,9°,February,2021,Lahore,07-Feb-21
8,24°,9°,February,2021,Lahore,08-Feb-21
9,24°,9°,February,2021,Lahore,09-Feb-21
10,23°,10°,February,2021,Lahore,10-Feb-21
11,24°,10°,February,2021,Lahore,11-Feb-21
12,20°,10°,February,2021,Lahore,12-Feb-21
13,24°,10°,February,2021,Lahore,13-Feb-21
14,22°,9°,February,2021,Lahore,14-Feb-21
15,18°,11°,February,2021,Lahore,15-Feb-21
16,19°,11°,February,2021,Lahore,16-Feb-21
17,21°,11°,February,2021,Lahore,17-Feb-21
18,24°,11°,February,2021,Lahore,18-Feb-21
19,24°,11°,February,2021,Lahore,19-Feb-21
20,26°,11°,February,2021,Lahore,20-Feb-21
21,26°,12°,February,2021,Lahore,21-Feb-21
22,28°,13°,February,2021,Lahore,22-Feb-21
23,27°,14°,February,2021,Lahore,23-Feb-21
24,30°,13°,February,2021,Lahore,24-Feb-21
25,31°,14°,February,2021,Lahore,25-Feb-21
26,29°,17°,February,2021,Lahore,26-Feb-21
27,26°,16°,February,2021,Lahore,27-Feb-21
28,26°,13°,February,2021,Lahore,28-Feb-21
1,27°,13°,March,2021,Lahore,01-Mar-21
2,28°,15°,March,2021,Lahore,02-Mar-21
3,29°,14°,March,2021,Lahore,03-Mar-21
4,29°,16°,March,2021,Lahore,04-Mar-21
5,30°,16°,March,2021,Lahore,05-Mar-21
6,31°,16°,March,2021,Lahore,06-Mar-21
7,25°,18°,March,2021,Lahore,07-Mar-21
8,28°,16°,March,2021,Lahore,08-Mar-21
9,30°,17°,March,2021,Lahore,09-Mar-21
10,30°,18°,March,2021,Lahore,10-Mar-21
11,30°,17°,March,2021,Lahore,11-Mar-21
12,21°,16°,March,2021,Lahore,12-Mar-21
13,27°,14°,March,2021,Lahore,13-Mar-21
14,29°,17°,March,2021,Lahore,14-Mar-21
15,27°,18°,March,2021,Lahore,15-Mar-21
16,30°,18°,March,2021,Lahore,16-Mar-21
17,30°,18°,March,2021,Lahore,17-Mar-21
18,31°,18°,March,2021,Lahore,18-Mar-21
19,31°,19°,March,2021,Lahore,19-Mar-21
20,32°,19°,March,2021,Lahore,20-Mar-21
21,24°,19°,March,2021,Lahore,21-Mar-21
22,26°,18°,March,2021,Lahore,22-Mar-21
23,25°,16°,March,2021,Lahore,23-Mar-21
24,27°,16°,March,2021,Lahore,24-Mar-21
25,28°,17°,March,2021,Lahore,25-Mar-21
26,31°,17°,March,2021,Lahore,26-Mar-21
27,32°,18°,March,2021,Lahore,27-Mar-21
28,33°,19°,March,2021,Lahore,28-Mar-21
29,34°,21°,March,2021,Lahore,29-Mar-21
30,33°,20°,March,2021,Lahore,30-Mar-21
31,31°,20°,March,2021,Lahore,31-Mar-21
1,31°,19°,April,2021,Lahore,01-Apr-21
2,30°,18°,April,2021,Lahore,02-Apr-21
3,33°,16°,April,2021,Lahore,03-Apr-21
4,32°,16°,April,2021,Lahore,04-Apr-21
5,31°,18°,April,2021,Lahore,05-Apr-21
6,31°,16°,April,2021,Lahore,06-Apr-21
7,31°,15°,April,2021,Lahore,07-Apr-21
8,31°,17°,April,2021,Lahore,08-Apr-21
9,34°,19°,April,2021,Lahore,09-Apr-21
10,34°,19°,April,2021,Lahore,10-Apr-21
11,36°,21°,April,2021,Lahore,11-Apr-21
12,35°,21°,April,2021,Lahore,12-Apr-21
13,36°,23°,April,2021,Lahore,13-Apr-21
14,37°,23°,April,2021,Lahore,14-Apr-21
15,31°,21°,April,2021,Lahore,15-Apr-21
16,31°,22°,April,2021,Lahore,16-Apr-21
17,30°,18°,April,2021,Lahore,17-Apr-21
18,31°,17°,April,2021,Lahore,18-Apr-21
19,34°,20°,April,2021,Lahore,19-Apr-21
20,32°,20°,April,2021,Lahore,20-Apr-21
21,27°,19°,April,2021,Lahore,21-Apr-21
22,27°,17°,April,2021,Lahore,22-Apr-21
23,25°,15°,April,2021,Lahore,23-Apr-21
24,32°,16°,April,2021,Lahore,24-Apr-21
25,37°,19°,April,2021,Lahore,25-Apr-21
26,38°,21°,April,2021,Lahore,26-Apr-21
27,40°,23°,April,2021,Lahore,27-Apr-21
28,39°,27°,April,2021,Lahore,28-Apr-21
29,41°,26°,April,2021,Lahore,29-Apr-21
30,40°,25°,April,2021,Lahore,30-Apr-21
1,39°,26°,May,2021,Lahore,01-May-21
2,39°,24°,May,2021,Lahore,02-May-21
3,37°,25°,May,2021,Lahore,03-May-21
4,37°,26°,May,2021,Lahore,04-May-21
5,35°,23°,May,2021,Lahore,05-May-21
6,34°,26°,May,2021,Lahore,06-May-21
7,36°,24°,May,2021,Lahore,07-May-21
