country,iso_alpha3,name_1,name_2,whostandard,natstandard,population,pm_1998,pm_1999,pm_2000,pm_2001,pm_2002,pm_2003,pm_2004,pm_2005,pm_2006,pm_2007,pm_2008,pm_2009,pm_2010,pm_2011,pm_2012,pm_2013,pm_2014,pm_2015,pm_2016,pm_2017,pm_2018,pm_2019
Pakistan,PAK,Khyber Pakhtunkhwa,Tank,10,15,530160,35.119999,34.360001,37.240002,43.09,41.889999,26.799999,31.780001,24.690001,26.1,26.35,29.59,36.529999,35.119999,40.950001,40.099998,40.240002,39.400002,43.389999,40.43,42.34,46.549999,42.490002
Pakistan,PAK,Khyber Pakhtunkhwa,Tor Ghar,10,15,65332,25.24,32.040001,37.880001,28.76,29.68,25.620001,27.48,24.549999,25.9,26.370001,29.200001,25.83,25.24,27.9,33.77,31.9,29.469999,28.51,33.849998,31.700001,34.360001,28.860001
Pakistan,PAK,Khyber Pakhtunkhwa,Upper Dir,10,15,681680,22.93,34.57,40.880001,25.67,28.23,24.92,26.57,24.25,26.059999,26.66,28.23,25.59,22.93,28.879999,31.52,31.450001,28.09,27.639999,26.549999,27.540001,31.700001,28.15
Pakistan,PAK,Punjab,Attock,10,15,2917894,37.490002,34.189999,42.32,44.82,43.34,35.189999,36.18,30.530001,32.77,33.650002,37.389999,34.669998,37.490002,40.869999,47.27,48.529999,42.060001,40.73,50.07,43.369999,50.84,37.779999
Pakistan,PAK,Punjab,Bahawalnagar,10,15,3726914,57.029999,39.91,48.400002,46.5,55.110001,51.77,55.52,46.52,51.639999,47.889999,53.060001,56.139999,57.029999,54.450001,61.669998,55.459999,52.98,56.099998,57,54.93,66.040001,60.009998
Pakistan,PAK,Punjab,Bahawalpur,10,15,5024163,57.130001,43.759998,50.07,53.119999,63.389999,55.02,63.650002,49.169998,55.869999,48.400002,57.93,57.849998,57.130001,59.130001,66.339996,57.369999,57.509998,59.57,59.779999,56.209999,74.589996,65.239998
Pakistan,PAK,Punjab,Bhakkar,10,15,3218220,36.240002,33.139999,41.91,44.290001,42.09,31.860001,35.290001,28.16,30.299999,30.450001,33.82,36.860001,36.240002,38.93,40.84,40.849998,38.630001,40.529999,45.009998,40.529999,46.98,40.509998
Pakistan,PAK,Punjab,Chakwal,10,15,2750869,35.34,28.049999,35.759998,42.029999,39.220001,31.209999,31.950001,26.450001,28.73,29.51,33.029999,31.389999,35.34,37.41,41.700001,42.790001,36.830002,35.279999,45,38.959999,44.330002,34.549999
Pakistan,PAK,Punjab,Chiniot,10,15,1473352,43.16,29.34,35.560001,37.98,40.869999,37.919998,38.419998,33.900002,36.419998,37.52,39.279999,38.369999,43.16,41.650002,44.259998,43.099998,37.41,39.689999,51.330002,41.77,47.68,39.060001
Pakistan,PAK,Punjab,Dera Ghazi Khan,10,15,2599994,45.700001,40.209999,42.720001,52.369999,54.34,39.259998,46.900002,36.07,39.040001,37.830002,43.529999,50.200001,45.700001,51.099998,54.029999,50.540001,49.810001,53.080002,52.09,51.919998,60.509998,57.32
